63409	
	(-1.222060842e-19,6.083232659e-20)	(-1.146634589e-19,5.719395316e-20)	(-8.304970598e-35,3.799952069e-35)	(1.529516659e-34,-7.085799099e-35)	(0.01619683121,-0.007474597803)
	(-0.0006333488123,0.0002976537713)	(-0.0005430168323,0.0002587964502)	(-0.0005565960295,0.0002728118427)	(-0.0005094781986,0.0002527260069)	(-1.671962704e-34,7.486550581e-35)
	(3.203981993e-34,-1.432219276e-34)	(-0.0006499587165,0.0002886798497)	(-0.00052938923,0.0002388359631)	(-0.0008580701094,0.0003706592849)	(-0.0006731604474,0.0002964096566)
	(-8.089765781e-35,3.550127514e-35)	(1.696206735e-34,-7.321687619e-35)	(0.01752416656,-0.007599946867)	(-0.0006582216954,0.0002724604353)	(-0.0004915163539,0.0002066730529)
	(3.052526731e-18,-1.20113296e-18)	(2.219664191e-18,-8.759409244e-19)	(1.6583712e-16,-1.308446944e-16)	(3.670152116e-16,-2.897227331e-16)	(-0.000536964476,0.0002765414536)
	(-0.0005132116948,0.0002675486899)	(-0.0005748411237,0.0003076205814)	(-0.000583931975,0.0003162473676)	(-8.434272663e-14,4.631427789e-14)	(-8.992385901e-14,4.937722177e-14)
	(-6.196993956e-35,2.952903523e-35)	(1.041946381e-34,-5.159756279e-35)	(0.01488395586,-0.00726670777)	(-0.0004743299555,0.0002593640821)	(-0.0004966577771,0.0002742591948)
	(5.656898425e-16,-3.325931949e-16)	(6.703679404e-16,-3.943972153e-16)	(-4.053657038e-35,2.006068869e-35)	(6.055206074e-35,-3.196596448e-35)	(0.0135334758,-0.006948585832)
	(-1.031596842e-15,6.191452889e-16)	(-1.251745183e-15,7.511976628e-16)	(0.01286336941,-0.006770989216)	(-0.0005538293257,0.0003329588913)	(-0.0006636564686,0.0004036124698)
	(-5.044807942e-16,3.08647146e-16)	(-6.242720334e-16,3.818616319e-16)	(-0.0004610785935,0.0002636263285)	(-0.0005108064845,0.0002951823639)	(-0.0005737913328,0.0003377811272)
	(-0.0006709718623,0.0003998549801)	(-3.950075681e-35,2.028977057e-35)	(5.377004758e-35,-3.018914145e-35)	(0.01229265567,-0.00661587957)	(2.302053404e-16,-1.462893799e-16)
	(3.070256246e-16,-1.954216472e-16)	(-0.0005715089909,0.0003598780531)	(-0.0007336444326,0.0004680152517)	(-0.0005437455066,0.0003333491825)	(-0.0006647426114,0.0004121958719)
	(-2.216845727e-18,1.612804736e-18)	(-3.904648536e-18,2.84383798e-18)	(5.018495943e-17,-3.433242449e-17)	(7.732151444e-17,-5.293309237e-17)	(-0.0004805594867,0.0003346809941)
	(-0.0007510516051,0.0005287312339)	(-4.527608334e-17,3.195190403e-17)	(-7.322034841e-17,5.168681822e-17)	(-9.697089363e-17,6.740068025e-17)	(-1.534945166e-16,1.066740126e-16)
	(0.01031895606,-0.005895780081)	(-0.000420780686,0.0003032447887)	(-0.0007067085023,0.0005146708688)	(-3.516927016e-35,1.928289349e-35)	(4.066408179e-35,-2.566611516e-35)
	(0.009774105447,-0.005691567559)	(-0.0004705356598,0.0003328626965)	(-0.0007519509147,0.0005378493356)	(-3.765612292e-35,2.000825061e-35)	(4.68907718e-35,-2.792332877e-35)
	(0.0109811448,-0.006156446651)	(-2.185285324e-16,1.442152516e-16)	(-3.099216557e-16,2.048818431e-16)	(-0.0005511650679,0.0003626828198)	(-0.0007665260993,0.0005106743144)
	(-0.000499381965,0.0003421740157)	(-0.0007583793469,0.0005256700215)	(4.40479551e-16,-2.852616908e-16)	(6.106743888e-16,-3.95354949e-16)	(0.01159557816,-0.006370316445)
	(-0.0005406355039,0.0003467325894)	(-0.0007206502021,0.0004678091161)	(-0.0005440351525,0.0003643772894)	(-0.000777443499,0.0005273341576)	(-0.001066948868,0.0005615316142)
	(-0.001040162752,0.0005603602068)	(-1.04230965e-19,9.478396307e-20)	(-0.01363827309,0.01449500944)	(9.631071097e-35,-9.545984177e-35)	(1.144582827e-34,-1.124447112e-34)
	(0.003135975529,-0.003190758268)	(6.033745833e-19,-5.486875635e-19)	(-1.587780543e-17,1.542863875e-17)	(-8.946347764e-14,2.569867596e-14)	(-4.933236214e-14,1.420896897e-14)
	(-0.001067676815,0.0005415174913)	(-0.000995390275,0.0005168482578)	(0.01555075301,-0.007349059804)	(-0.00154476409,0.0008075221953)	(-0.001473011378,0.0007966454105)
	(-0.001126769161,0.000549492579)	(-0.001002732464,0.0005012393499)	(-0.001656084457,0.0008339753658)	(-0.001505296907,0.0007864161053)	(-0.001760514855,0.0008527320951)
