63409	
	(1.600566386e-34,-9.829263816e-35)	(-2.70887687e-34,1.701901913e-34)	(7.855750793e-35,-4.738235377e-35)	(-1.444349954e-34,8.824838816e-35)	(-0.01530342308,0.009312398808)
	(0.0005967581857,-0.0003705108825)	(0.0005107685096,-0.0003209334879)	(0.0005229123543,-0.0003365436832)	(0.0004787420589,-0.0003113174628)	(1.582788007e-34,-9.3746456e-35)
	(-3.031375666e-34,1.796936065e-34)	(0.0006142296787,-0.0003635072554)	(0.0004997895672,-0.0002997194505)	(0.0008119152147,-0.0004694766646)	(0.0006364631565,-0.00037396166)
	(7.668846871e-35,-4.465206306e-35)	(-1.607459867e-34,9.253178859e-35)	(-0.01660955587,0.009592476135)	(0.0006239576933,-0.0003482984748)	(0.0004654360478,-0.0002631697164)
	(1.53025217e-34,-8.744321704e-35)	(-3.364080813e-34,1.876709877e-34)	(5.472581408e-35,-4.052871097e-35)	(-5.51956857e-35,4.830760884e-35)	(0.0005027378666,-0.0003378132939)
	(0.0004815984774,-0.0003268707228)	(0.0005355752969,-0.0003722241377)	(0.0005442251589,-0.0003821519452)	(1.589264107e-34,-1.011129846e-34)	(-2.398278513e-34,1.593440568e-34)
	(7.880699668e-35,-4.923066312e-35)	(-1.28527266e-34,8.316768547e-35)	(-0.01399712653,0.008939704961)	(0.0004424464931,-0.0003130490988)	(0.0004633619551,-0.0003311018081)
	(8.074339374e-35,-5.27103518e-35)	(-1.095508553e-34,7.589067091e-35)	(5.786918182e-35,-3.738614623e-35)	(-8.686330992e-35,5.939407613e-35)	(-0.01272415491,0.008491784833)
	(3.859017054e-35,-2.541369607e-35)	(-5.250297294e-35,3.685583309e-35)	(-0.01205297136,0.008213528324)	(0.0005139335265,-0.0003960922944)	(0.0006156134158,-0.0004794386619)
	(7.407855871e-35,-4.916252369e-35)	(-1.010010166e-34,7.178572223e-35)	(0.0004281425758,-0.0003152632382)	(0.0004714407201,-0.00035040542)	(0.0005332985794,-0.0004034129376)
	(0.0006222052293,-0.0004757092417)	(3.658846477e-35,-2.437696749e-35)	(-4.949875841e-35,3.576261256e-35)	(-0.01151518555,0.008004342384)	(7.549593544e-35,-5.088353884e-35)
	(-9.291084928e-35,6.787016794e-35)	(0.0005287810502,-0.000425023468)	(0.0006778600807,-0.0005513330591)	(0.0005037485575,-0.0003951314646)	(0.0006155174091,-0.000487839753)
	(6.688399758e-35,-4.771296819e-35)	(-6.996143086e-35,5.677800699e-35)	(7.16384281e-35,-4.974002253e-35)	(-8.087448236e-35,6.227103577e-35)	(0.0004409151405,-0.0003889736406)
	(0.0006885196128,-0.0006135119491)	(6.774605158e-35,-4.77509131e-35)	(-7.724370203e-35,6.091473097e-35)	(3.472763272e-35,-2.429198256e-35)	(-3.944209104e-35,3.073433315e-35)
	(-0.009621717968,0.007050570628)	(0.000384496847,-0.0003501995204)	(0.0006449947865,-0.0005933312101)	(3.301694007e-35,-2.329299988e-35)	(-3.782471774e-35,3.038296136e-35)
	(-0.009110414542,0.006792123354)	(0.0004309725272,-0.0003857657668)	(0.0006882957885,-0.0006224999183)	(3.546398824e-35,-2.434376806e-35)	(-4.376803363e-35,3.333712748e-35)
	(-0.01025854004,0.007392534914)	(7.266185977e-35,-4.973913157e-35)	(-9.044379088e-35,6.773787467e-35)	(0.0005080088693,-0.0004251277285)	(0.0007060781673,-0.0005976615059)
	(0.0004585889919,-0.0003984332847)	(0.0006962203599,-0.0006114688185)	(3.704379214e-35,-2.516983853e-35)	(-4.572636766e-35,3.380497804e-35)	(-0.01084155746,0.007672852713)
	(0.0004990649459,-0.0004079550983)	(0.0006649249932,-0.0005495511198)	(0.0005011684571,-0.0004263282559)	(0.0007151383232,-0.0006155099402)	(0.0009979426089,-0.0006834054581)
	(0.0009724586235,-0.0006795531188)	(-5.650719751e-33,8.600836162e-33)	(0.01189473638,-0.01602945399)	(-8.461419683e-35,1.055186453e-34)	(-1.000597502e-34,1.238414019e-34)
	(-0.002566668432,0.003262478228)	(-7.467436327e-35,4.02042253e-35)	(-2.307221041e-34,2.768387565e-34)	(1.320952338e-34,-7.097569126e-35)	(-4.030665284e-34,1.973704222e-34)
	(0.001001541314,-0.000663991535)	(0.0009333949988,-0.0006315037749)	(-0.01467536754,0.009112942326)	(0.001446411309,-0.0009846080128)	(0.001376840257,-0.0009655754567)
	(0.001059126201,-0.0006787700758)	(0.0009411920836,-0.0006162301006)	(0.001554507586,-0.001024266195)	(0.001410128975,-0.000959294403)	(0.00165608167,-0.001055227607)
	(0.00142690998,-0.00094096386)	(0.001347767392,-0.0008147608042)	(0.001097454068,-0.0006825316835)	(0.001899235765,-0.001176416362)	(0.001563015541,-0.001007518094)
	(0.001172308397,-0.0007257254275)	(0.0009841652938,-0.0006240774809)	(-0.01570942023,0.009377957064)	(0.0006417105226,-0.0003399806977)	(0.0004550188532,-0.000244619558)
	(0.002093364173,-0.001267473636)	(0.001666531045,-0.001054733829)	(0.002141883261,-0.001251241021)	(0.001624409803,-0.0009934502288)	(0.001384602932,-0.0007914902195)
	(0.001045535188,-0.0006152449176)	(0.002014036543,-0.001138924717)	(0.001470378209,-0.0008685932932)	(0.001231293774,-0.0006804593542)	(0.0008956699338,-0.0005083564204)
	(-0.01720690625,0.009662676291)	(0.001664827447,-0.0009057809423)	(0.001174863301,-0.0006627576894)	(0.001551160832,-0.0009162682838)	(0.001220055058,-0.0007441008661)
	(-0.01640612808,0.009497530903)	(7.314687152e-35,-4.118152215e-35)	(-1.774289444e-34,9.596069538e-35)	(-0.01794563022,0.009792417688)	(0.001117195395,-0.0005823673853)
	(0.0007623422528,-0.0004072265075)	(0.001057560763,-0.0005312682674)	(0.0006859516336,-0.0003528897908)	(1.444493068e-34,-7.981921945e-35)	(-3.697938769e-34,1.935867953e-34)
	(-7.017873955e-35,2.710633777e-35)	(-1.073488755e-34,1.129936955e-34)	(-0.008365363785,0.00436322899)	(-0.0005090854746,0.000571622246)	(0.01139943001,-0.01526781626)
	(-0.0009657179925,0.001041864853)	(0.007322058939,-0.00893571952)	(-1.133937577e-34,4.252144202e-35)	(-1.896730682e-34,2.103985746e-34)	(-0.001190053598,0.001257165357)
	(0.007381153633,-0.008763608736)	(-1.75991529e-34,7.18059816e-35)	(-2.043676504e-34,1.996377212e-34)	(-5.093235233e-35,1.75961616e-35)	(-1.285837426e-34,1.47698154e-34)
