39536	
	(3.549431535e-48,-1.468951485e-47)	(-3.859472241e-48,7.833873365e-48)	(-7.83654613e-48,1.199536802e-47)	(-4.094675536e-47,-1.312862026e-47)	(-1.309654708e-47,1.336382355e-48)
	(-1.289341696e-47,-2.348825627e-47)	(-1.224281093e-15,-1.161397367e-15)	(-5.186823193e-16,9.341485918e-16)	(1.908195824e-16,-2.220446049e-16)	(-2.981555974e-16,1.660130367e-15)
	(-8.29626166e-47,-9.470139921e-47)	(3.188875576e-47,-4.560271148e-47)	(7.034716717e-47,2.69628504e-47)	(3.469446952e-18,-2.983724379e-16)	(-1.183081411e-15,6.136584296e-16)
	(-1.170938346e-15,5.342948306e-16)	(2.232293086e-47,-2.921866381e-47)	(-4.470382398e-15,1.230135785e-15)	(-1.828398544e-15,-3.637715129e-15)	(7.00264354e-49,4.121403183e-48)
	(-3.482612417e-48,-4.781576066e-48)	(-9.060672367e-49,4.476212698e-48)	(3.067858467e-15,-4.740131898e-16)	(7.632783294e-16,1.243796732e-15)	(-1.461504529e-15,-5.741934705e-16)
	(8.456776945e-18,1.075528555e-15)	(1.24769986e-15,-1.009609063e-15)	(2.180547409e-15,6.709043043e-16)	(2.327565224e-15,-8.257283746e-16)	(8.586881206e-17,1.375635716e-15)
	(-1.201512848e-15,-2.529226828e-15)	(4.154662725e-16,-9.159339953e-16)	(-1.510944148e-15,-9.161508358e-16)	(2.71484224e-16,7.849623729e-17)	(2.519685849e-16,1.221245327e-15)
	(7.112366252e-16,8.777700788e-16)	(-1.247266179e-15,1.646252579e-15)	(6.574601974e-16,6.765421556e-16)	(-4.086357988e-16,-1.375635716e-15)	(6.049001092e-47,-8.903513802e-47)
	(-9.88067658e-47,1.103744915e-46)	(2.006711744e-47,1.037032708e-48)	(3.518019209e-15,-3.825065265e-15)	(-1.069533526e-46,-4.940739205e-47)	(-3.5248421e-47,-5.132777349e-47)
	(-4.635643113e-47,-1.541650685e-47)	(-2.967244506e-15,-2.806348903e-15)	(-8.800879637e-47,-2.872046047e-46)	(-4.233659301e-47,-1.069533526e-46)	(-2.228016662e-47,5.242895255e-47)
	(-4.406197629e-16,4.734168786e-16)	(-2.827599266e-16,4.67101401e-16)	(3.356689926e-16,-1.626357469e-15)	(9.324138683e-16,2.276824562e-16)	(1.535230276e-15,4.613280244e-16)
	(3.330669074e-16,1.945058697e-15)	(-1.481353113e-46,-1.135176628e-46)	(-1.066112388e-46,3.585353493e-46)	(6.459537751e-47,1.047723766e-46)	(1.193489751e-15,-1.952431272e-15)
	(2.387846865e-15,-8.454608541e-16)	(2.802445775e-15,6.331740687e-16)	(-2.883110417e-15,-5.79397641e-16)	(-1.345820157e-15,2.402592014e-15)	(-3.018418848e-16,-1.237291519e-15)
