39536	
	(-3.252297763e-45,-4.122853624e-45)	(1.179202754e-45,2.758130102e-45)	(1.451741789e-45,4.890520727e-45)	(-1.296488631e-44,8.21811222e-45)	(-2.646653305e-45,3.910094796e-45)
	(-9.419951939e-45,-1.687284846e-45)	(-5.977207805e-13,7.40408658e-14)	(1.430754941e-13,3.4546493e-13)	(-1.779532214e-14,-9.871285075e-14)	(3.950855082e-13,4.521918301e-13)
	(-4.471850013e-44,1.14013153e-45)	(-5.192386456e-45,-1.902424955e-44)	(2.341115434e-44,-1.336252574e-44)	(-9.534549754e-14,-6.794137453e-14)	(-1.02617463e-13,4.629553643e-13)
	(-1.217478853e-13,4.518751696e-13)	(-3.099989684e-45,-1.305495416e-44)	(-6.66496696e-13,1.511969888e-12)	(-1.429142382e-12,-3.087019374e-13)	(1.320159431e-45,7.940344909e-46)
	(-2.097703921e-45,-1.448279826e-46)	(9.927520884e-46,1.268703374e-45)	(5.691867219e-13,-9.436417798e-13)	(5.237861645e-13,9.316047335e-14)	(-4.922200707e-13,2.668797402e-13)
	(2.946877714e-13,2.367804313e-13)	(2.156032837e-14,-5.71838391e-13)	(6.795976593e-13,-4.29537439e-13)	(2.986381784e-13,-8.356733386e-13)	(3.857703039e-13,2.929878315e-13)
	(-9.683600668e-13,-2.385411827e-13)	(-1.556516221e-13,-3.13926172e-13)	(-5.870219359e-13,2.151366668e-13)	(8.908223223e-14,-6.151942433e-14)	(4.075659984e-13,2.021682507e-13)
	(3.918352899e-13,-1.073083238e-14)	(1.839985381e-13,7.294328019e-13)	(3.556109412e-13,-1.393360516e-14)	(-4.686850052e-13,-2.008747045e-13)	(-1.078560445e-44,-3.66300642e-44)
	(8.117514258e-45,5.192361652e-44)	(4.799476152e-45,-5.319321714e-45)	(-2.573362188e-13,-1.826000132e-12)	(-3.765710785e-44,1.804258375e-44)	(-2.198257875e-44,-1.940593973e-45)
	(-1.463476489e-44,9.134820448e-45)	(-1.439200329e-12,1.725288684e-13)	(-9.846471962e-44,-4.08143977e-44)	(-3.89239876e-44,-1.209564586e-44)	(9.396373298e-45,1.836495841e-44)
	(3.36639381e-14,2.373901341e-13)	(6.576330856e-14,1.930396899e-13)	(-3.717067844e-13,-4.464005574e-13)	(2.726435592e-13,-2.098187943e-13)	(4.734576606e-13,-3.218323109e-13)
	(6.17022979e-13,3.332099595e-13)	(-6.433651249e-44,1.483274739e-44)	(7.382511186e-44,1.104006002e-43)	(4.335525372e-44,6.231110525e-45)	(-2.733759002e-13,-7.77557113e-13)
	(3.069900409e-13,-8.550716291e-13)	(7.945445957e-13,-6.354731138e-13)	(-8.195722336e-13,6.599426428e-13)	(3.650075794e-13,9.061966651e-13)	(-3.900942034e-13,-2.158472824e-13)
	(-2.468384043e-13,4.18077164e-14)	(-2.084408457e-13,4.047879871e-13)	(-4.682976841e-13,3.719578412e-13)	(-1.242244557e-12,1.482659409e-12)	(2.473792979e-13,-3.606793629e-13)
	(-2.788154875e-13,3.594541304e-13)	(-5.525199482e-13,-7.106926258e-13)	(-1.330827913e-13,4.366934448e-14)	(1.444753904e-13,-1.150027007e-13)	(-6.233025716e-14,-3.959665045e-13)
	(2.213083059e-44,3.526282361e-44)	(1.098919668e-12,-1.825288363e-13)	(7.090711795e-13,6.117754215e-13)	(6.300415945e-14,4.022240041e-13)	(5.162527932e-46,-1.970915272e-44)
	(-2.131028553e-13,-1.312884094e-12)	(9.548575723e-13,-3.029714604e-13)	(-2.149273962e-13,2.792206486e-13)	(4.377104845e-13,4.523181085e-13)	(-5.377672295e-13,2.232358888e-13)
	(-3.669569123e-13,-7.365456588e-13)	(2.135103291e-13,2.467442648e-13)	(-3.248356468e-13,5.635131021e-13)	(-5.908126935e-13,9.727029024e-14)	(4.493012421e-13,2.868719993e-13)
	(-7.251819977e-13,6.153033282e-13)	(2.377351771e-13,5.948738252e-13)	(1.59493995e-13,-8.809981968e-13)	(5.088319181e-15,7.508901273e-14)	(6.250653082e-13,2.26260225e-13)
	(6.202790422e-13,8.597269561e-13)	(5.081868974e-15,2.331514212e-13)	(-7.520671921e-13,4.33947125e-13)	(-1.770135328e-44,1.939590908e-45)	(1.134892453e-43,2.139165679e-44)
	(2.321964798e-44,1.576586292e-45)	(-1.432476626e-12,-7.976608023e-13)	(-6.549165021e-15,-2.210826733e-13)	(-8.709998616e-13,-4.760407666e-14)	(-2.808219232e-13,-1.965775308e-14)
	(-1.341393721e-44,1.575119225e-44)	(1.203699574e-43,2.742398594e-44)	(-2.023191832e-44,-1.067931102e-45)	(3.300061023e-13,2.121551704e-13)	(5.20041899e-14,1.843586259e-13)
