39536	
	(3.631409509e-45,-1.926141518e-45)	(-2.277906957e-45,5.416369423e-46)	(-3.946933715e-45,4.294748868e-46)	(-4.479500509e-45,-1.106496458e-44)	(-2.625830103e-45,-2.563642351e-45)
	(2.614738361e-45,-6.980892661e-45)	(2.710991726e-14,-4.68045184e-13)	(-2.861209667e-13,6.14322305e-14)	(7.816078117e-14,-1.974461752e-16)	(-4.027364804e-13,2.383528129e-13)
	(5.346886323e-45,-3.442199121e-44)	(1.529107227e-44,-1.332993061e-45)	(6.968586439e-45,1.979569102e-44)	(6.651739903e-14,-6.130024282e-14)	(-3.397965573e-13,-1.423785927e-13)
	(-3.286136283e-13,-1.570276269e-13)	(1.039879569e-44,-5.091127392e-46)	(-1.062726671e-12,-7.227286132e-13)	(4.385069271e-13,-1.048522115e-12)	(-7.894491254e-46,8.927206382e-46)
	(4.028921569e-46,-1.584854528e-45)	(-1.106963099e-45,5.859565129e-46)	(6.435990151e-13,5.668222725e-13)	(-1.429960414e-13,3.849689212e-13)	(-1.352347061e-13,-4.133583799e-13)
	(-2.230015353e-13,1.921247758e-13)	(4.321206193e-13,9.579072693e-14)	(2.361841092e-13,5.783360242e-13)	(5.968939278e-13,3.457678063e-13)	(-2.767681149e-13,2.551634962e-13)
	(3.195501648e-13,-7.082246284e-13)	(2.61743928e-13,-7.581778144e-14)	(-8.238566857e-14,-4.81257379e-13)	(3.398031552e-14,7.675528671e-14)	(-2.134573637e-13,2.822481267e-13)
	(-4.666591742e-14,3.030968669e-13)	(-5.830177873e-13,3.574514048e-14)	(-3.918953614e-14,2.720507595e-13)	(2.192009126e-13,-3.309645837e-13)	(2.95850062e-44,-3.149119632e-45)
	(-4.094383745e-44,-1.028582615e-45)	(3.401893995e-45,4.42512618e-45)	(1.435796805e-12,5.778217099e-14)	(-8.581384667e-45,-3.138565785e-44)	(4.557881412e-45,-1.658652889e-44)
	(-4.938468498e-45,-1.249974278e-44)	(6.79499845e-14,-1.12651857e-12)	(4.503578777e-44,-6.979652457e-44)	(1.477780828e-44,-2.818702438e-44)	(-1.533873056e-44,4.626852328e-45)
	(-1.857216736e-13,-8.71914453e-15)	(-1.562973387e-13,2.231435853e-14)	(3.958529021e-13,-2.222301883e-13)	(1.219789814e-13,2.387278799e-13)	(1.797221534e-13,4.083556552e-13)
	(-3.428364222e-13,4.253488027e-13)	(-2.376002458e-45,-5.141464293e-44)	(-9.487583951e-44,4.120154225e-44)	(-1.081310623e-44,3.234405272e-44)	(6.332205487e-13,-9.902382009e-14)
	(6.102770808e-13,3.557820805e-13)	(3.753692963e-13,6.998234619e-13)	(-3.898375381e-13,-7.192185696e-13)	(-7.472019548e-13,1.518901762e-13)	(2.18294396e-13,-2.691440301e-13)
	(1.188976114e-15,-1.928096492e-13)	(-2.805047057e-13,-2.148167626e-13)	(-2.230624453e-13,-4.133957878e-13)	(-9.626206944e-13,-1.160059636e-12)	(2.414291624e-13,2.408847603e-13)
	(-2.348949304e-13,-2.634472893e-13)	(6.197666616e-13,-3.254461099e-13)	(-1.542194798e-14,-1.081799403e-13)	(6.839406009e-14,1.283388081e-13)	(3.112254019e-13,7.988847096e-15)
