39536	
	(-7.979495808e-46,3.795140067e-45)	(9.630593771e-46,-1.983446441e-45)	(2.059843534e-45,-3.102251068e-45)	(1.065630779e-44,3.41183912e-45)	(3.420044721e-45,-3.592431536e-46)
	(3.458758079e-45,6.084575985e-45)	(3.208493308e-13,3.008557967e-13)	(1.285393638e-13,-2.442568151e-13)	(-4.662206499e-14,5.677667351e-14)	(7.155607228e-14,-4.336027123e-13)
	(2.162661019e-44,2.452382166e-44)	(-8.212364584e-45,1.182970581e-44)	(-1.845946492e-44,-6.866120275e-45)	(2.030532368e-15,8.407439061e-14)	(3.05911653e-13,-1.597262078e-13)
	(3.107523376e-13,-1.417431507e-13)	(-5.886246196e-45,7.75406866e-45)	(1.158712424e-12,-3.299535549e-13)	(4.890846289e-13,9.457197932e-13)	(-1.662886332e-46,-1.098456921e-45)
	(9.001394349e-46,1.240679157e-45)	(2.385102733e-46,-1.149542122e-45)	(-7.948394711e-13,1.242918882e-13)	(-1.9052196e-13,-3.312581331e-13)	(3.783528876e-13,1.504495163e-13)
	(-3.960581856e-15,-2.76147072e-13)	(-3.263194944e-13,2.525313846e-13)	(-5.587902797e-13,-1.743597507e-13)	(-6.071546335e-13,2.214649057e-13)	(-1.910613534e-14,-3.522109943e-13)
	(3.174816886e-13,6.567117268e-13)	(-1.019429797e-13,2.343133598e-13)	(3.972378549e-13,2.310200844e-13)	(-7.52445371e-14,-2.205734093e-14)	(-7.307183708e-14,-3.234755961e-13)
	(-1.914212526e-13,-2.168320492e-13)	(3.257319192e-13,-4.387914607e-13)	(-1.708819272e-13,-1.903790314e-13)	(1.070156785e-13,3.567834674e-13)	(-1.551399066e-44,2.323766397e-44)
	(2.5360473e-44,-2.893064518e-44)	(-5.236694994e-45,-2.11238237e-46)	(-9.049123965e-13,1.00132676e-12)	(2.780928118e-44,1.26686577e-44)	(9.231570118e-45,1.326361149e-44)
	(1.197724315e-44,3.965541648e-45)	(7.719528727e-13,7.251722868e-13)	(2.329867975e-44,7.446093526e-44)	(1.143372626e-44,2.767736823e-44)	(5.858591991e-45,-1.380802471e-44)
	(1.182131561e-13,-1.272513288e-13)	(7.805344587e-14,-1.248718325e-13)	(-7.891297552e-14,4.201048472e-13)	(-2.453533773e-13,-5.62813213e-14)	(-4.024294791e-13,-1.166777096e-13)
	(-9.937537568e-14,-5.032230796e-13)	(3.8533701e-44,2.921312475e-44)	(2.724657716e-44,-9.320011229e-44)	(-1.683396707e-44,-2.721969388e-44)	(-3.098293049e-13,5.145226127e-13)
	(-6.227268147e-13,2.243195017e-13)	(-7.314307906e-13,-1.516616618e-13)	(7.514511135e-13,1.513113082e-13)	(3.414722603e-13,-6.305759996e-13)	(6.416099524e-14,3.182300952e-13)
	(1.377025683e-13,1.144129447e-13)	(3.221892992e-13,-7.381163933e-14)	(4.361671247e-13,8.685851039e-14)	(1.415857232e-12,3.577139541e-15)	(-3.191849441e-13,2.846114121e-14)
	(3.299005885e-13,-1.030307902e-14)	(-1.355473255e-13,6.421499358e-13)	(8.769095311e-14,5.353604802e-14)	(-1.350062477e-13,-2.859099255e-14)	(-1.925585986e-13,2.187206392e-13)
	(9.434988027e-45,-2.880936569e-44)	(-6.156072733e-13,-5.216864198e-13)	(9.289382649e-15,-6.835595119e-13)	(1.953623061e-13,-2.239008336e-13)	(-1.135592662e-44,8.898421215e-45)
	(-6.364825024e-13,7.319479139e-13)	(-6.164122775e-13,-3.911766791e-13)	(2.605913863e-13,-1.044596037e-14)	(4.967332185e-14,-4.554427643e-13)	(3.713688122e-13,1.945699844e-13)
	(-2.441098097e-13,5.495411065e-13)	(4.050466496e-14,-2.324110755e-13)	(4.668670123e-13,-7.999066632e-14)	(3.30287564e-13,2.887630857e-13)	(-4.932663976e-14,-3.85716005e-13)
	(6.840102874e-13,1.159823923e-13)	(2.268580591e-13,-4.134284619e-13)	(-5.67161446e-13,3.227131483e-13)	(4.043442831e-14,-3.672151581e-14)	(-1.595146894e-13,-4.584315782e-13)
	(1.900385361e-13,-7.419427568e-13)	(1.304378138e-13,-1.128466684e-13)	(5.959962196e-13,2.195235131e-13)	(9.328306529e-45,8.975068243e-45)	(-4.140319076e-44,-7.3904159e-44)
	(-9.999544231e-45,-1.386484014e-44)	(2.256405512e-13,1.179181933e-12)	(-1.236915576e-13,1.08077694e-13)	(3.750742048e-13,5.075032139e-13)	(1.165179041e-13,1.630552339e-13)
	(1.511517368e-44,1.094108989e-46)	(-4.083744779e-44,-8.050222086e-44)	(8.873291448e-45,1.184699008e-44)	(-3.754138617e-14,-2.832123011e-13)	(7.956178738e-14,-1.155892862e-13)
	(-7.813236834e-14,4.333996301e-13)	(-1.980801495e-13,-6.438756571e-13)	(1.941819017e-13,-4.378906264e-13)	(-1.3165836e-13,5.911168374e-13)	(5.558621298e-13,4.234653965e-13)
	(-1.426228229e-14,-1.532866441e-13)	(3.976343589e-13,4.059087126e-13)	(6.920447081e-13,-2.387522522e-13)	(-3.400876154e-13,-9.019677883e-14)	(4.564918389e-13,-2.948415277e-13)
