39536	
	(2.306208898e-45,2.708388147e-45)	(-9.14453997e-46,-1.801981078e-45)	(-1.093415303e-45,-3.217417129e-45)	(8.398526732e-45,-5.793446319e-45)	(1.64045354e-45,-2.671506099e-45)
	(6.326991154e-45,8.999550494e-46)	(3.962670324e-13,-6.376957575e-14)	(-1.049182181e-13,-2.303376136e-13)	(1.530159809e-14,6.542515229e-14)	(-2.725945913e-13,-2.945306492e-13)
	(2.979027674e-44,-1.969388586e-45)	(3.977707819e-45,1.252787431e-44)	(-1.525575818e-44,9.510418088e-45)	(6.014685482e-14,4.640446261e-14)	(5.454091571e-14,-3.097556887e-13)
	(7.144631071e-14,-3.032151904e-13)	(2.285643964e-45,8.553538369e-45)	(4.088231487e-13,-1.019639122e-12)	(9.539624692e-13,1.761290931e-13)	(-8.804327998e-46,-4.902574616e-46)
	(1.397310214e-45,4.076138456e-47)	(-6.996800598e-46,-8.107780303e-46)	(-3.527710196e-13,6.43878935e-13)	(-3.430787792e-13,-4.596130494e-14)	(3.190449541e-13,-1.891392161e-13)
	(-2.014192357e-13,-1.515811044e-13)	(8.49576709e-16,3.744749057e-13)	(-4.35922144e-13,3.081033282e-13)	(-1.789553754e-13,5.611111517e-13)	(-2.656457964e-13,-1.814347433e-13)
	(6.515340401e-13,1.381131363e-13)	(1.127940812e-13,2.040316506e-13)	(3.897675069e-13,-1.579133233e-13)	(-5.785194756e-14,4.150822046e-14)	(-2.732293172e-13,-1.289983449e-13)
	(-2.646487985e-13,1.723187052e-14)	(-1.3275173e-13,-4.791494994e-13)	(-2.310510548e-13,1.710573144e-14)	(3.175179055e-13,1.215704998e-13)	(8.141863358e-45,2.418830768e-44)
	(-6.765241885e-45,-3.449206678e-44)	(-3.078429935e-45,3.664601248e-45)	(2.189680535e-13,1.213338464e-12)	(2.468162476e-44,-1.304582539e-44)	(1.474881504e-44,7.275173032e-46)
	(9.557594421e-45,-6.433443522e-45)	(9.545930296e-13,-1.54057108e-13)	(6.686109211e-44,2.470965547e-44)	(2.642742665e-44,7.233490254e-45)	(-6.702858939e-45,-1.190277599e-44)
	(-2.49445241e-14,-1.557947087e-13)	(-4.582554421e-14,-1.254836192e-13)	(2.595504298e-13,2.929444152e-13)	(-1.779992856e-13,1.454110162e-13)	(-3.093854176e-13,2.252213428e-13)
	(-4.18556736e-13,-2.100911943e-13)	(4.265201304e-44,-1.155355351e-44)	(-5.220693738e-44,-7.167151283e-44)	(-2.906159361e-44,-3.005500565e-45)	(1.975772368e-13,5.104999965e-13)
	(-1.862552051e-13,5.737546781e-13)	(-5.195510602e-13,4.437048388e-13)	(5.279527208e-13,-4.576782241e-13)	(-2.643684388e-13,-6.001576966e-13)	(2.661163191e-13,1.298503703e-13)
	(1.578351765e-13,-3.667243473e-14)	(1.252883879e-13,-2.736260893e-13)	(3.081665487e-13,-2.696279658e-13)	(7.934199836e-13,-1.021502044e-12)	(-1.582734786e-13,2.462947253e-13)
	(1.763720929e-13,-2.429528754e-13)	(3.895792721e-13,4.547257075e-13)	(8.771672967e-14,-3.399313669e-14)	(-9.721359562e-14,8.199623693e-14)	(5.032162004e-14,2.605166502e-13)
	(-1.551190368e-44,-2.28598591e-44)	(-7.171996995e-13,1.56162732e-13)	(-4.890705617e-13,-3.872714728e-13)	(-5.310551581e-14,-2.65898355e-13)	(6.385158263e-47,1.317542924e-44)
	(1.731991419e-13,8.674691158e-13)	(-6.255514476e-13,2.277705284e-13)	(1.387868892e-13,-1.951080426e-13)	(-3.005645875e-13,-2.896636119e-13)	(3.452834937e-13,-1.58889002e-13)
	(2.597194014e-13,4.835287694e-13)	(-1.438829884e-13,-1.586438608e-13)	(2.027020608e-13,-3.81121801e-13)	(3.934659747e-13,-7.642583039e-14)	(-3.059693027e-13,-1.79394442e-13)
