39536	
	(-1.849247775e-45,2.555436021e-45)	(1.349903866e-45,-1.177117187e-45)	(2.528384483e-45,-1.611698593e-45)	(6.722545883e-45,5.978669366e-45)	(2.633268408e-45,8.405093423e-46)
	(5.50533305e-46,5.615899735e-45)	(1.374996649e-13,3.263762277e-13)	(1.765048398e-13,-1.385589899e-13)	(-5.288783625e-14,2.709694483e-14)	(1.963271565e-13,-2.949592468e-13)
	(7.950440967e-45,2.513260012e-44)	(-9.902088354e-45,6.04413903e-45)	(-1.135416389e-44,-1.108661287e-44)	(-2.829214417e-14,6.002055874e-14)	(2.765905721e-13,-1.866633048e-14)
	(2.747642668e-13,-1.711419888e-15)	(-6.841041835e-45,3.719934889e-45)	(9.587170251e-13,1.378316766e-13)	(4.693038122e-14,8.534160181e-13)	(2.351735216e-46,-8.522222386e-46)
	(2.583341147e-46,1.205355429e-45)	(5.458727413e-46,-7.710034116e-46)	(-6.260316918e-13,-1.66860868e-13)	(-3.296804353e-14,-3.014632417e-13)	(2.286179919e-13,2.333623309e-13)
	(8.812874281e-14,-2.042377363e-13)	(-3.189453731e-13,7.911156442e-14)	(-3.565454005e-13,-3.074496462e-13)	(-5.177604597e-13,-3.629261967e-14)	(9.879012181e-14,-2.659722032e-13)
	(1.709364646e-14,5.877118152e-13)	(-1.509069565e-13,1.397385708e-13)	(2.171134532e-13,3.022113134e-13)	(-4.724969271e-14,-4.09884723e-14)	(5.469632862e-14,-2.605304049e-13)
	(-7.040687544e-14,-2.243270727e-13)	(3.826807039e-13,-2.119249807e-13)	(-6.25430945e-14,-1.931090894e-13)	(-3.760271967e-14,2.977172427e-13)	(-1.904623225e-44,1.205714279e-44)
	(2.81808384e-44,-1.304143381e-44)	(-3.787101195e-45,-1.875870937e-45)	(-9.952204533e-13,4.423790569e-13)	(1.63754028e-44,1.843882362e-44)	(2.469802234e-45,1.281137608e-44)
	(7.512464683e-45,6.856903139e-45)	(3.327696704e-13,7.860849226e-13)	(-7.174682191e-45,6.256035358e-44)	(-7.023788141e-46,2.422840649e-44)	(8.776711927e-45,-8.23098014e-45)
	(1.2805719e-13,-5.304279012e-14)	(9.76979447e-14,-6.475762035e-14)	(-1.980643724e-13,2.842069309e-13)	(-1.616762334e-13,-1.226304536e-13)	(-2.576555298e-13,-2.186763961e-13)
	(9.343509606e-14,-4.027417746e-13)	(1.885539099e-44,3.418911738e-44)	(5.050060059e-44,-5.983343701e-44)	(-3.523900108e-45,-2.554856749e-44)	(-3.962613166e-13,2.751907284e-13)
	(-5.300324916e-13,-4.050785998e-14)	(-4.895287722e-13,-3.541671012e-13)	(5.021982206e-13,3.564897654e-13)	(4.607345241e-13,-3.520824306e-13)	(-5.450462841e-14,2.553640671e-13)
	(6.497662062e-14,1.260479097e-13)	(2.603715495e-13,4.923143505e-14)	(2.985419199e-13,2.088432726e-13)	(1.042687692e-12,4.670659299e-13)	(-2.443208717e-13,-8.481554668e-14)
	(2.442910572e-13,1.003641649e-13)	(-3.068715875e-13,4.300441419e-13)	(4.791429612e-14,6.806546548e-14)	(-9.126380158e-14,-6.717614558e-14)	(-2.124487832e-13,9.732095273e-14)
	(1.633443425e-44,-1.805217799e-44)	(-2.856250989e-13,-5.792336336e-13)	(2.288505495e-13,-5.00767263e-13)	(2.16675726e-13,-1.014598281e-13)	(-1.129435341e-44,2.791521178e-45)
	(-7.070549896e-13,3.295602363e-13)	(-3.266310563e-13,-4.877640185e-13)	(1.974392383e-13,7.868533506e-14)	(1.852586846e-13,-3.176662406e-13)	(2.074097548e-13,2.609159811e-13)
	(-3.608148694e-13,3.231087831e-13)	(1.05920974e-13,-1.553535229e-13)	(3.685175934e-13,9.414890235e-14)	(1.471116498e-13,3.2205615e-13)	(8.964320542e-14,-2.99740253e-13)
	(4.664113207e-13,3.071972779e-13)	(3.055763622e-13,-2.295005874e-13)	(-5.220682098e-13,5.266031098e-14)	(4.169525546e-14,-1.270408628e-14)	(3.699494745e-14,-3.885185989e-13)
	(3.780506839e-13,-4.797577769e-13)	(1.344664487e-13,-4.018940145e-14)	(3.670925756e-13,3.571869391e-13)	(3.923930725e-45,9.611749367e-45)	(-6.404406824e-45,-6.820383736e-44)
	(-2.798063448e-45,-1.354799787e-44)	(-2.187093986e-13,9.444104015e-13)	(-1.284995571e-13,3.860011002e-14)	(1.079107003e-13,4.919096867e-13)	(3.154211979e-14,1.543289048e-13)
	(1.111153643e-44,4.99688938e-45)	(-3.616066862e-45,-7.266596763e-44)	(2.661545214e-45,1.162367658e-44)	(6.324803032e-14,-2.208603524e-13)	(9.67532753e-14,-5.897928535e-14)
	(-1.972713059e-13,2.883319409e-13)	(6.337647484e-14,-5.37984778e-13)	(2.887067223e-13,-2.606227824e-13)	(-2.928781306e-13,3.901482652e-13)	(2.712276949e-13,4.936740421e-13)
	(3.923568097e-14,-1.149358756e-13)	(1.599895965e-13,4.29497591e-13)	(5.834909547e-13,4.925841825e-14)	(-2.189586535e-13,-1.802649839e-13)	(4.305586311e-13,-6.726258e-14)
	(2.750663117e-13,-4.524258258e-13)	(1.341079122e-14,-4.875306904e-14)	(5.155487951e-13,-8.359501965e-14)	(6.123150932e-13,4.516264758e-13)	(-4.183234966e-14,-2.284668406e-13)
	(4.19586143e-13,-2.853664497e-13)	(6.121325785e-13,-7.920317226e-15)	(2.103163345e-13,3.197637549e-14)	(-3.176407609e-13,-8.235030902e-14)	(-5.317238747e-14,1.016650896e-13)
	(-1.300887752e-14,-1.451144171e-13)	(-3.926788472e-13,1.112261516e-14)	(6.830207968e-14,-3.068880163e-14)	(-3.676127932e-13,4.422295518e-13)	(2.442197385e-44,-8.308683879e-45)
	(6.604576665e-13,3.861300919e-13)	(-1.079326106e-13,2.880206949e-13)	(-2.624507766e-14,8.196458099e-14)	(-9.638061334e-45,3.994044711e-45)	(-3.576613795e-13,1.789579167e-13)
	(3.29953656e-15,-3.055036099e-13)	(5.94098605e-13,-5.178180175e-13)	(-3.729275327e-13,3.417919235e-13)	(-7.662393847e-15,-4.439128444e-13)	(-4.537123864e-13,-1.476311405e-13)
	(-2.066693728e-13,-1.748142455e-14)	(-9.059785882e-14,9.150556847e-14)	(-5.658407667e-14,1.719810365e-13)	(4.914901624e-13,-1.699067007e-14)	(-1.336562306e-13,9.85292515e-14)
	(6.084457253e-13,2.268171892e-13)	(-9.253807395e-14,-8.535636151e-14)	(-1.888587423e-13,-5.784033673e-14)	(-1.36014245e-13,4.811319082e-13)	(2.218034548e-13,-6.193016446e-14)
	(-2.424895662e-14,-4.601423133e-13)	(2.271523958e-13,5.935530936e-13)	(1.460384058e-45,5.014130819e-45)	(-1.76134535e-44,2.981908569e-44)	(1.025404127e-44,6.888953266e-45)
	(2.213022967e-13,-1.78201994e-13)	(-8.273038512e-46,3.004170891e-45)	(-9.461016952e-44,-1.759740799e-44)	(8.568525609e-45,2.166096351e-44)	(1.981477443e-13,2.964111135e-13)
