67798	
	(-2.063671606e-33,-1.224513587e-33)	(1.610087704e-34,-2.643376751e-34)	(-6.328389072e-34,-2.202067584e-34)	(-1.114379451e-33,-6.616649779e-34)	(8.484223524e-35,-1.392988367e-34)
	(-4.155247868e-34,-1.699540417e-34)	(161.6241042,66.09469901)	(0.7654436604,0.4549546115)	(-0.05541708943,0.09099011959)	(0.03645672153,0.02184093511)
	(-2.430011885e-33,-1.443838628e-33)	(1.796957127e-34,-2.950519068e-34)	(-1.014804037e-33,-4.511715892e-34)	(0.5787758103,0.3437576091)	(-0.04313641418,0.07082240414)
	(0.0171667363,0.01027640462)	(-2.290569751e-33,-1.359325121e-33)	(2.121788189e-34,-3.484313922e-34)	(-2.443820111e-33,-1.311468601e-33)	(-1.233123501e-33,-7.325840372e-34)
	(9.731903395e-35,-1.598036593e-34)	(-5.164516973e-34,-2.315174535e-34)	(221.0429072,102.148194)	(0.8349635253,0.4966081882)	(-0.05911612035,0.09706941912)
	(0.04377251296,0.02622962873)	(0.7759800547,0.4615621627)	(-0.05696932893,0.09354901884)	(0.02322883501,0.01390252215)	(-6.427345768e-33,-4.031452566e-33)
	(1.955436294e-34,-3.212625278e-34)	(-1.742768978e-33,-1.061130069e-33)	(0.01730257771,0.01040060507)	(-0.05600213057,0.09200539123)	(0.5032978079,0.3058988899)
	(0.0309968929,0.01860186707)	(-0.04236009495,0.06959401572)	(0.3984310385,0.242215166)	(-3.19029883e-33,-2.001094761e-33)	(1.052148579e-34,-1.728566962e-34)
	(-8.498561636e-34,-5.177985934e-34)	(-1120.169702,-702.4234786)	(-8.159860427e-33,-5.067036119e-33)	(2.303132506e-34,-3.783722544e-34)	(-1.398555486e-33,-8.554057588e-34)
	(-0.01036188646,-0.006191602623)	(-0.06190279264,0.101697141)	(0.6573082712,0.3982754886)	(0.926684633,0.551949858)	(-0.06293084657,0.1033450014)
	(0.02572506563,0.01538653641)	(-7.253023313e-33,-4.333634926e-33)	(2.895680886e-34,-4.755829514e-34)	(-3.092900775e-33,-1.708138677e-33)	(1.484887579,0.8868203051)
	(-0.07663240227,0.1258583262)	(0.4300343944,0.2578811735)	(1.461392146,0.8718063982)	(-0.08616438743,0.1415059197)	(0.1950527632,0.1169782939)
	(-2.161641209e-33,-1.289220726e-33)	(1.223323919e-34,-2.009036111e-34)	(-2.251443097e-33,-1.274157615e-33)	(842.7821218,475.9615861)	(-1.728080468e-33,-1.023958256e-33)
	(1.377052039e-34,-2.260277435e-34)	(-1.292006762e-34,8.335887267e-35)	(-9.867877705e-34,-5.853312735e-34)	(7.70814095e-35,-1.265419362e-34)	(-2.295778067e-34,-5.762588229e-35)
	(91.0141701,23.42924613)	(0.6555956913,0.3890965176)	(-0.04967555585,0.08155026645)	(0.01807282594,0.01081571657)	(0.5437131526,0.3227646441)
	(-0.04112663791,0.06751880256)	(0.01277399954,0.007642257991)	(-1.870417167e-33,-1.108968504e-33)	(1.480167868e-34,-2.429800366e-34)	(-3.35806911e-34,-4.06773447e-35)
	(0.6243177788,0.3703744392)	(-0.04783106288,0.07851783954)	(0.01507426496,0.00901906366)	(0.5894579147,0.349580409)	(-0.04547779779,0.07465124251)
	(0.01266575785,0.007576940849)	(-9.02917653e-34,-5.352082181e-34)	(7.13922999e-35,-1.171891672e-34)	(-1.096816844e-34,1.464383896e-35)	(43.49622707,-5.304621878)
