70578	
	(3.341074075,0)	(0,-4.18156575)	(0.2247191666,0)	(-1.7018486e-32,0)	(0,2.260431661e-32)
	(-4.170729978e-32,0)	(-3.141270784e-32,0)	(0,2.468640837e-32)	(-2.679222819e-32,0)	(-8.312988735e-33,0)
	(0,1.229314335e-32)	(-2.099549827e-32,0)	(-8367.454137,0)	(3.821283409,0)	(0,-4.97172742)
	(0.1927569625,0)	(-1.350627084e-32,0)	(0,2.692421559e-32)	(-6.049332846e-32,0)	(4.899249383,0)
	(0,-5.471527561)	(0.1009876734,0)	(11.23301054,0)	(0,-11.22826612)	(2.033671748,0)
	(9.118840902,0)	(0,-9.958155173)	(1.317192237,0)	(-7478.157392,0)	(7.749683053,0)
	(0,-8.900616652)	(0.9692088409,0)	(14.30156083,0)	(0,-14.83152454)	(3.551398209,0)
	(11.78438807,0)	(0,-13.16819688)	(2.206935728,0)	(-7.214913728e-33,0)	(0,1.052962895e-32)
	(-1.959828651e-32,0)	(-7798.199039,0)	(6.174403701,0)	(0,-7.990352252)	(0.5812512983,0)
	(10.25667747,0)	(0,-12.11680579)	(1.572315933,0)	(2.956317655,0)	(0,-3.925758322)
	(0.1933234381,0)	(-1.269685713e-32,0)	(0,1.974647561e-32)	(-3.603636208e-32,0)	(2.938090386,0)
	(0,-4.118022114)	(0.1456241459,0)	(6.527290572,0)	(0,-7.987470556)	(0.696093208,0)
	(-7673.058024,0)	(-1.47300951e-32,0)	(0,1.161938306e-32)	(-1.198934821e-32,0)	(5082.699419,0)
	(-2.691879902e-32,0)	(0,2.206899642e-32)	(-2.229684529e-32,0)	(0.1502825036,0)	(0,-3.317664791)
	(3.584131287,0)	(0.1619179552,0)	(0,-4.425299026)	(4.70326145,0)	(0.5290555756,0)
	(0,-7.771052325)	(8.57620228,0)	(0.5006134413,0)	(0,-6.81128079)	(7.670879549,0)
	(5115.318111,0)	(0.1078129468,0)	(0,-4.637630187)	(4.990354755,0)	(-4.68034233e-32,0)
	(0,2.91355624e-32)	(-2.514525e-32,0)	(-1.544073048e-32,0)	(0,1.328697087e-32)	(-1.370122604e-32,0)
	(5510.495543,0)	(0.186912378,0)	(0,-3.54124688)	(3.974031027,0)	(0.8077487377,0)
	(0,-8.032613439)	(9.365903302,0)	(1.233829689,0)	(0,-10.59328356)	(12.28985678,0)
	(-3.537899935e-32,0)	(0,1.681730903e-32)	(-2.45689766e-32,0)	(12163.85918,0)	(-4.975579889e-32,0)
	(0,3.968022428e-32)	(-7.72292442e-32,0)	(1.374484508,0)	(0,-6.283570783)	(9.337259258,0)
	(0.1385547957,0)	(0,-5.137633772)	(6.054032299,0)	(10.01953483,0)	(0,-7.376033055)
	(3.722639133,0)	(-7.059717009e-32,0)	(0,3.627663535e-32)	(-6.862470485e-32,0)	(-1.826250039e-32,0)
	(0,1.566738917e-32)	(-4.189193584e-32,0)	(-16163.9744,0)	(7.565191936,0)	(0,-6.670021889)
	(1.050596678,0)	(16.68301258,0)	(0,-16.32609051)	(5.147207236,0)	(19.6468455,0)
	(0,-18.23729758)	(8.213508224,0)	(16.16771562,0)	(0,-14.0212954)	(6.81444952,0)
	(13.89843764,0)	(0,-12.78271237)	(3.931256355,0)	(-7148.747174,0)	(4.623188567,0)
	(0,-7.659235551)	(11.7648034,0)	(8.689603116,0)	(0,-14.94561815)	(20.52226513,0)
	(-6.295264271e-32,0)	(0,5.529407121e-32)	(-6.949683042e-32,0)	(-311.8000293,0)	(9.487976975,0)
	(0,-11.00172244)	(14.7978938,0)	(12.5345827,0)	(0,-9.446019919)	(8.700198322,0)
	(14.08557045,0)	(0,-13.12694375)	(15.07915459,0)	(21.84079687,0)	(0,-21.25809203)
	(8.615012892,0)	(19.05735967,0)	(0,-19.51659834)	(6.018455138,0)	(-6373.937782,0)
	(23.4742177,0)	(0,-23.94994097)	(8.820865508,0)	(16.1861737,0)	(0,-17.65142623)
	(4.082129289,0)	(20.99675711,0)	(0,-22.39951846)	(6.644937936,0)	(18.38652304,0)
	(0,-20.61690931)	(4.839323857,0)	(9.647811574,0)	(0,-11.95554053)	(1.340713073,0)
	(16.37645746,0)	(0,-19.2246745)	(3.67961705,0)	(12.50414297,0)	(0,-15.35568738)
	(2.165037134,0)	(13.85700227,0)	(0,-16.06791821)	(2.796084673,0)	(-6253.499309,0)
	(2.527935519,0)	(0,-3.799847037)	(0.08503923671,0)	(2.702717765,0)	(0,-3.93540026)
	(0.09947156692,0)	(-1.104889365e-32,0)	(0,1.821857606e-32)	(-3.233318865e-32,0)	(-5.996009087e-33,0)
	(0,9.472104107e-33)	(-1.696307105e-32,0)	(-6907.476703,0)	(8.784482406,0)	(0,-11.48701399)
	(1.069144672,0)	(5.979420914,0)	(0,-8.021801341)	(0.5198618677,0)	(-6688.162095,0)
	(5.548137463,0)	(0,-7.723443382)	(0.43322553,0)	(2.354387433,0)	(0,-3.6651038)
	(0.0755675861,0)	(1.923466116,0)	(0,-3.084894659)	(0.05128860829,0)	(-9.902231891e-33,0)
	(0,1.705971797e-32)	(-2.964452782e-32,0)	(-5.268776893e-33,0)	(0,8.80830053e-33)	(-1.539703131e-32,0)
