96240	
	(4624476.868,0)	(4166367.198,0)	(3631747.383,0)	(3272087.612,0)	(3639474.082,0)
	(3279047.372,0)	(3647572.638,0)	(3286342.094,0)	(3656038.627,0)	(3293967.793,0)
	(3664876.883,0)	(3301928.828,0)	(3674085.058,0)	(3310223.084,0)	(3786938.57,0)
	(3411877.224,0)	(3749071.332,0)	(3377767.572,0)	(3761307.593,0)	(3388789.591,0)
	(3773930.19,0)	(3400159.641,0)	(3737214.639,0)	(3367087.484,0)	(3725744.446,0)
	(3356755.568,0)	(3683667.409,0)	(3318854.398,0)	(3693620.137,0)	(3327819.35,0)
	(3703949.67,0)	(3337123.732,0)	(3714657.644,0)	(3346769.022,0)	(3740344.21,0)
	(3369906.481,0)	(5029888.541,0)	(4531612.497,0)	(3800339.322,0)	(3423948.28,0)
	(3814135.404,0)	(3436375.476,0)	(4655296.942,0)	(4194133.096,0)	(4851367.311,0)
	(4370776.085,0)	(4817341.749,0)	(4340121.589,0)	(4686638.54,0)	(4222368.953,0)
	(4783858.336,0)	(4309955.654,0)	(4750915.422,0)	(4280276.791,0)	(4718517.052,0)
	(4251088.64,0)	(4885951.961,0)	(4401934.411,0)	(4921087.974,0)	(4433589.609,0)
	(4956788.132,0)	(4465753.202,0)	(4993057.44,0)	(4498429.706,0)	(4875958.343,0)
	(4392930.818,0)	(4646197.835,0)	(4185935.641,0)	(4594174.928,0)	(4139068.2,0)
	(4564381.238,0)	(4112227.194,0)	(4615184.089,0)	(4157995.3,0)	(4535093.171,0)
	(4085841.808,0)	(4506309.8,0)	(4059911.204,0)	(4478024.85,0)	(4034429.724,0)
	(4450236.25,0)	(4009395.5,0)	(4422935.658,0)	(3984801.011,0)	(4396123.903,0)
	(3960647.003,0)	(4343942.859,0)	(3913638.743,0)	(4369795.743,0)	(3936928.746,0)
	(3552728.706,0)	(3200913.598,0)	(3553035.475,0)	(3201189.696,0)	(3553622.739,0)
	(3201718.563,0)	(3624385.76,0)	(3265456.705,0)	(3617392.905,0)	(3259157.973,0)
	(3610766.094,0)	(3253188.961,0)	(3633769.303,0)	(3273908.835,0)	(3626207.989,0)
	(3267098.055,0)	(3641541.957,0)	(3280909.992,0)	(3649842.398,0)	(3288386.564,0)
	(3658354.195,0)	(3296053.53,0)	(3667394.306,0)	(3304196.388,0)	(3676636.129,0)
	(3312520.957,0)	(3790582.155,0)	(3415159.261,0)	(3777527.363,0)	(3403399.861,0)
	(3752414.333,0)	(3380778.826,0)	(3764682.913,0)	(3391829.965,0)	(3728831.132,0)
	(3359535.928,0)	(3717707.77,0)	(3349516.444,0)	(3686433.284,0)	(3321345.762,0)
	(3696420.748,0)	(3330342.008,0)	(3706782.036,0)	(3339674.999,0)	(3742987.684,0)
	(3372287.606,0)	(3731794.1,0)	(3362204.837,0)	(5019905.964,0)	(4522618.696,0)
	(5067308.487,0)	(4565325.958,0)	(5105311.171,0)	(4599564.594,0)	(5056625.687,0)
	(4555701.25,0)	(3804018.372,0)	(3427262.272,0)	(3828325.766,0)	(3449157.868,0)
	(3818030.097,0)	(3439883.723,0)	(4318566.393,0)	(3890778.021,0)	(4293661.45,0)
	(3868342.165,0)	(4677813.439,0)	(4214418.32,0)	(4841918.138,0)	(4362263.039,0)
	(4807496.877,0)	(4331252.087,0)	(4708568.746,0)	(4242126.064,0)	(4773682.945,0)
	(4300788.418,0)	(4741994.148,0)	(4272239.448,0)	(4911631.001,0)	(4425069.462,0)
	(4946767.994,0)	(4456725.643,0)	(4982414.532,0)	(4488841.028,0)	(4864423.282,0)
	(4382538.445,0)	(4900428.551,0)	(4414976.708,0)	(4667790.596,0)	(4205388.591,0)
	(4637210.419,0)	(4177838.768,0)	(4585270.831,0)	(4131046.499,0)	(4555850.622,0)
	(4104541.993,0)	(4607120.059,0)	(4150730.335,0)	(4526906.421,0)	(4078466.424,0)
	(4497946.042,0)	(4052376.385,0)	(4470002.921,0)	(4027202.886,0)	(4442086.895,0)
	(4002053.896,0)	(4415095.854,0)	(3977738.304,0)	(4388577.212,0)	(3953848.38,0)
	(4336576.493,0)	(3907002.624,0)	(4362137.578,0)	(3930029.727,0)	(3552422.005,0)
	(3200637.316,0)	(3553008.077,0)	(3201164.979,0)	(3554529.433,0)	(3202535.18,0)
	(3555756.366,0)	(3203640.26,0)	(3553442.527,0)	(3201556.213,0)	(3557364.175,0)
	(3205088.415,0)	(3619187.727,0)	(3260774.634,0)	(3612512.839,0)	(3254762.315,0)
	(3604499.701,0)	(3247544.602,0)	(3598593.072,0)	(3242224.304,0)	(3593053.988,0)
	(3237235.074,0)	(3567349.261,0)	(3214082.137,0)	(3606029.131,0)	(3248922.21,0)
	(3635359.491,0)	(3275341.174,0)	(3620830.808,0)	(3262254.611,0)	(3627890.006,0)
	(3268613.105,0)	(3643138.543,0)	(3282348.095,0)	(3651674.631,0)	(3290036.927,0)
	(3660525.142,0)	(3298008.99,0)	(5563649.823,0)	(5012549.966,0)	(5518851.437,0)
	(4972167.298,0)	(3669423.51,0)	(3306024.178,0)	(3679068.632,0)	(3314712.022,0)
	(3780660.156,0)	(3406221.769,0)	(3793735.295,0)	(3417999.502,0)	(3767590.43,0)
	(3394448.944,0)	(3755299.573,0)	(3383377.733,0)	(3770480.684,0)	(3397052.354,0)
	(3720261.596,0)	(3351816.807,0)	(3709492.864,0)	(3342116.78,0)	(3688713.317,0)
	(3323399.493,0)	(3698723.535,0)	(3332416.238,0)	(3745722.129,0)	(3374750.663,0)
	(3733572.067,0)	(3363806.329,0)	(3722409.611,0)	(3353751.623,0)	(5143919.054,0)
	(4634348.653,0)	(5183105.081,0)	(4669653.77,0)	(5222881.7,0)	(4705491.179,0)
	(5474630.528,0)	(4932316.95,0)	(5345935.963,0)	(4816360.514,0)	(5007876.355,0)
	(4511780.582,0)	(5046587.073,0)	(4546656.858,0)	(5095513.081,0)	(4590736.92,0)
	(5133333.596,0)	(4624811.55,0)	(5083222.027,0)	(4579663.15,0)	(3807200.882,0)
